PVKinSU8_01_dia,PVKinSU8_02_dia,PVKinSU8_06_dia,PVKinSU8_05_dia,PVKinSU8_04_dia,PVKinSU8_10_gap,PVKinSU8_10_gap_x2,PVKinCHL_07_dia,PVKinCHL_05_dia,PVKinCHL_02_dia,PVKinCHL_06_dia,PVKinCHL_03_dia,PVKinCHL_08_09_10_gap,PSinTHF_07_dia,PSinTHF_05_dia,PSinTHF_06_dia,PSinTHF_04_dia,PSinTHF_03_dia,PSinTHF_08_09_gap,PSBinTHFDMF_06_dia,PSBinTHFDMF_00_dia,PSBinTHFDMF_02_dia,PSBinTHFDMF_03_dia,PSBinTHFDMF_04_dia,PSBinTHFDMF_08_10_gap,PEOinSU8_00_dia,PEOinSU8_05_dia,PEOinSU8_04_dia,PEOinSU8_02_dia,PEOinSU8_06_dia,PEOinSU8_08_gap,PEOinSU8_08_gap_x5
,,,,,21.39,42.78,,,,,,58.17,,,,,,,,,,,,,,,,,,,
,,,,,21.03,42.06,,,,,,58.43,,,,,,,,,,,,,,,,,,,
,,,,,17.09,34.18,,,,,,57.24,,,,,,,,,,,,,,,,,,,
,,,,,16.86,33.72,,,,,,67.13,,,,,,,,,,,,,,,,,,,
,,,,,18.54,37.08,,,,,,67.36,,,,,,,,,,,,,,,,,,,
,,,,,16.45,32.9,,,,,,67.77,,,,,,,,,,,,,,,,,,,
,,,,,16.75,33.5,,,,,,66.44,,,,,,,,,,,,,,,,,,,
,,,,,27.53,55.06,,,,,,64.45,,,,,,,,,,,,,,,,,,,
,,,,,27.56,55.12,,,,,,66.08,,,,,,,,,,,,,,,,,,,
,,,,,20.45,40.9,,,,,,65.29,,,,,,,,,,,,,,,,,,,
,,,,,20.41,40.82,,,,,,83.35,,,,,,,,,,,,,,,,,,,
,,,,,19.43,38.86,,,,,,84.41,,,,,,,,,,,,,,,,,,,
,,,,,26.63,53.26,,,,,,85.43,,,,,,,,,,,,,,,,,,,
,,,,,26.96,53.92,,,,,,83.36,,,,,,,,,,,,,,,,,,,
,,,,,25.45,50.9,,,,,,82.18,,,,,,,,,,,,,,,,,,,
,,,,,31.99,63.98,,,,,,82.8,,,,,,,,,,,,,,,,,,,
,,,,,31.58,63.16,,,,,,81.57,,,,,,,,,,,,,,,,,,,
,,,,,32.02,64.04,,,,,,82.75,,,,,,,,,,,,,,,,,,,
,,,,,24.5,49,,,,,,80.17,,,,,,,,,,,,,,,,,,,
,,,,,24.87,49.74,,,,,,25.62,,,,,,,,,,,,,,,,,,,
,,,,,23.34,46.68,,,,,,23.37,,,,,,,,,,,,,,,,,,,
,,,,,54.01,54.01,,,,,,23.98,,,,,,,,,,,,,,,,,,,
,,,,,54.37,54.37,,,,,,23.21,,,,,,,,,,,,,,,,,,,
,,,,,21.5,43,,,,,,23.37,,,,,,,,,,,,,,,,,,,
,,,,,22.82,45.64,,,,,,24.79,,,,,,,,,,,,,,,,,,,
,,,,,22.04,44.08,,,,,,24.82,,,,,,,,,,,,,,,,,,,
,,,,,23.06,46.12,,,,,,24.22,,,,,,,,,,,,,,,,,,,
,,,,,21.6,43.2,,,,,,24.29,,,,,,,,,,,,,,,,,,,
,,,,,21.46,42.92,,,,,,25.06,,,,,,,,,,,,,,,,,,,
,,,,,19.26,38.52,,,,,,25.26,,,,,,,,,,,,,,,,,,,
,,,,,20.02,40.04,,,,,,23.77,,,,,,,,,,,,,,,,,,,
,,,,,20.51,41.02,,,,,,23.57,,,,,,,,,,,,,,,,,,,
,,,,,18.4,36.8,,,,,,23.57,,,,,,,,,,,,,,,,,,,
,,,,,14.33,28.66,,,,,,22.95,,,,,,,,,,,,,,,,,,,
,,,,,16.1,32.2,,,,,,22.3,,,,,,,,,,,,,,,,,,,
