Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference,R_{jet},\Pi_1,Oh
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.0002,2.01e-05,,coil,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.003,1.9600000000000002e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.004,1.9399999999999997e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.0005,1.9399999999999997e-05,,coil,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.0015,1.83e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.0045,1.83e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.001,1.82e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.0045,1.82e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.0035,1.7800000000000002e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.002,1.77e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.0025,1.76e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.005,1.7100000000000002e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.0025,1.7100000000000002e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.005,1.6899999999999997e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.003,1.6899999999999997e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.003,1.63e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.0035,1.6100000000000002e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.004,1.57e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.0035,1.53e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.004,1.52e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.0001,1.4499999999999998e-05,,coil,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.005,1.4499999999999998e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.004,1.4400000000000001e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.0002,1.4400000000000001e-05,,coil,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.0045,1.4000000000000001e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.0045,1.4000000000000001e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.0005,1.3699999999999998e-05,,coil,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.0015,1.28e-05,,straight,single,Brown2011,,,
