Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference,R_{jet},\Pi_1,Oh
3,80006.0,2,0.7474335,,,1142.62,5,,0.000724,2.78e-12,0,0.03,8000.0,,1.31e-05,,0,5,3,,,
3,80002.0,2,0.7474335,,,1142.62,5,,0.00072,2.78e-12,0,0.02,8000.0,,1.26e-05,,0,5,3,,,
3,80014.0,2,0.7474335,,,1142.62,5,,0.000732,2.78e-12,0,0.06,8000.0,,1.23e-05,,0,5,3,,,
3,80011.0,2,0.7474335,,,1142.62,5,,0.000729,2.78e-12,0,0.04,10000.0,,1.22e-05,,0,5,3,,,
3,80007.0,2,0.7474335,,,1142.62,5,,0.000725,2.78e-12,0,0.03,10000.0,,1.21e-05,,0,5,3,,,
3,80012.0,2,0.7474335,,,1142.62,5,,0.00073,2.78e-12,0,0.04,12000.0,,1.1599999999999999e-05,,0,5,3,,,
3,80015.0,2,0.7474335,,,1142.62,5,,0.000733,2.78e-12,0,0.06,10000.0,,1.1599999999999999e-05,,0,5,3,,,
3,80031.0,2,0.7474335,,,1142.62,5,,0.000749,5.56e-12,0,0.06,12000.0,,1.1599999999999999e-05,,0,5,3,,,
3,80016.0,2,0.7474335,,,1142.62,5,,0.000734,2.78e-12,0,0.06,12000.0,,1.1400000000000001e-05,,0,5,3,,,
3,80028.0,2,0.7474335,,,1142.62,5,,0.000746,5.56e-12,0,0.04,12000.0,,1.13e-05,,0,5,3,,,
3,80003.0,2,0.7474335,,,1142.62,5,,0.000721,2.78e-12,0,0.02,10000.0,,1.12e-05,,0,5,3,,,
3,80008.0,2,0.7474335,,,1142.62,5,,0.000726,2.78e-12,0,0.03,12000.0,,1.05e-05,,0,5,3,,,
3,80004.0,2,0.7474335,,,1142.62,5,,0.000722,2.78e-12,0,0.02,12000.0,,1.04e-05,,0,5,3,,,
3,80000.0,2,0.7474335,,,1142.62,5,,0.000718,1.39e-12,0,0.04,4000.0,,9.97e-06,,0,5,3,,,
3,80000.0,2,0.7474335,,,1142.62,5,,0.000718,1.39e-12,0,0.03,4000.0,,8.42e-06,,0,5,3,,,
3,80000.0,2,0.7474335,,,1142.62,5,,0.000718,1.39e-12,0,0.02,4000.0,,7.97e-06,,0,5,3,,,
3,80000.0,2,0.7474335,,,1142.62,5,,0.000718,1.39e-12,0,0.04,6000.0,,7.97e-06,,0,5,3,,,
3,80000.0,2,0.7474335,,,1142.62,5,,0.000718,1.39e-12,0,0.03,6000.0,,7.09e-06,,0,5,3,,,
3,80000.0,2,0.7474335,,,1142.62,5,,0.000718,1.39e-12,0,0.04,8000.0,,6.87e-06,,0,5,3,,,
3,80000.0,2,0.7474335,,,1142.62,5,,0.000718,1.39e-12,0,0.02,6000.0,,6.53e-06,,0,5,3,,,
3,80000.0,2,0.7474335,,,1142.62,5,,0.000718,1.39e-12,0,0.04,10000.0,,6.2e-06,,0,5,3,,,
3,80000.0,2,0.7474335,,,1142.62,5,,0.000718,1.39e-12,0,0.03,8000.0,,5.87e-06,,0,5,3,,,
3,80000.0,2,0.7474335,,,1142.62,5,,0.000718,1.39e-12,0,0.04,12000.0,,5.87e-06,,0,5,3,,,
3,80000.0,2,0.7474335,,,1142.62,5,,0.000718,1.39e-12,0,0.03,10000.0,,5.65e-06,,0,5,3,,,
3,80000.0,2,0.7474335,,,1142.62,5,,0.000718,1.39e-12,0,0.02,8000.0,,5.54e-06,,0,5,3,,,
3,80000.0,2,0.7474335,,,1142.62,5,,0.000718,1.39e-12,0,0.03,12000.0,,5.54e-06,,0,5,3,,,
3,80000.0,2,0.7474335,,,1142.62,5,,0.000718,1.39e-12,0,0.02,10000.0,,4.76e-06,,0,5,3,,,
5,300000.0,12,0.958822,0.000400914,1825.546493,1000.62,10,3.0,0.00016,8.329999999999999e-13,12,0.005,1000.0,0.05,3.44e-07,,2,6,4,9.930424630061563e-08,1.6299989173089237e-08,2.2512464548532924
