Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.004,2500,0.02,NA,0.002724,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.0042,2500,0.02,NA,0.002765,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.0044,2500,0.02,NA,0.002864,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.0046,2500,0.02,NA,0.002913,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.0048,2500,0.02,NA,0.00298,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.005,2500,0.02,NA,0.003051,straight,aligned,Wang2017
PEO,2000000,Water,0.056,0.00981,25,1215.525,multinozzle xy stage,5,0.00018,NA,SST,0.004,2500,0.02,6.23219E-06,0.02520032,straight,aligned,Wang2018a
PCL,80000,CF,0.056,0.00981,25,1215.525,xy stage,8.8,0.0002,2.778E-11,Si,0.07,25000,0.5,0.000000641,NA,meander,single,Lee2012
PCL,80000,CF,,,,,xy stage,8.8,0.0002,2.778E-11,Si,0.07,25000,0.002,NA,NA,coil,single,Lee2012
PCL,80000,CF,,,,,xy stage,8.8,0.0002,2.778E-11,Si,0.07,25000,0.01,NA,NA,NA,single,Lee2012
PCL,80000,CF,,,,,xy stage,8.8,0.0002,2.778E-11,Si,0.07,25000,0.025,NA,NA,coil,single,Lee2012
PCL,80000,CF,,,,,xy stage,8.8,0.0002,2.778E-11,Si,0.07,25000,0.05,NA,NA,NA,single,Lee2012
PCL,80000,CF,,,,,xy stage,8.8,0.0002,2.778E-11,Si,0.07,25000,0.1,NA,NA,coil,single,Lee2012
PCL,80000,CF,,,,,xy stage,8.8,0.0002,2.778E-11,Si,0.07,25000,0.2,NA,NA,coil,single,Lee2012
PEtOx,50000,NA,,,,,melt,NA,0.00021,NA,Al,0.005,5000,0.00333,2.57343E-05,NA,straight,cross aligned,Hochleitner2014
PEtOx,50000,NA,,,,,melt,NA,0.00021,NA,Al,0.007,5000,0.00333,2.68891E-05,NA,straight,cross aligned,Hochleitner2014
PEtOx,50000,NA,,,,,melt,NA,0.00021,NA,Al,0.004,5000,0.00333,2.74622E-05,NA,straight,cross aligned,Hochleitner2014
PEtOx,50000,NA,,,,,melt,NA,0.00021,NA,Al,0.003,5000,0.00333,0.00002814,NA,straight,cross aligned,Hochleitner2014
PEtOx,50000,NA,,,,,melt,NA,0.00021,NA,Al,0.005,7000,0.00333,2.83379E-05,NA,straight,cross aligned,Hochleitner2014
