Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference,\Pi_1,R_{jet},Oh
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,1.6669999999999999e-12,PS,0.001,1000.0,0.050743620999999996,2.26829e-06,,straight,aligned,Yang2019,2.851408912188729e-07,5.072050632682998e-13,451.07035415210845
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,1.6669999999999999e-12,PS,0.001,1000.0,0.034117815,2.39024e-06,,straight,aligned,Yang2019,2.851408912188729e-07,5.344739122539097e-13,439.41291655456814
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,1.6669999999999999e-12,PS,0.001,1000.0,0.06667000000000001,2.7825400000000003e-06,,straight,aligned,Yang2019,2.851408912188729e-07,6.221948590112265e-13,407.2610397891642
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,1.6669999999999999e-12,PS,0.0005,1000.0,0.06667000000000001,3.11427e-06,,straight,aligned,Yang2019,1.1405635648754917e-06,6.96371942028827e-13,384.9598555828616
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,1.6667999999999998e-11,PS,0.001,1000.0,0.06667000000000001,4.3645499999999996e-06,,straight,aligned,Yang2019,2.851408912188729e-07,9.759430491196705e-13,325.1800079023004
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,1.6669999999999999e-12,PS,0.001,1100.0,0.06667000000000001,6.3388e-06,,straight,aligned,Yang2019,3.450204783748362e-07,1.4173987695775666e-12,269.82988557955997
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,1.6669999999999999e-12,PS,0.001,1200.0,0.06667000000000001,9.89071e-06,,straight,aligned,Yang2019,4.1060288335517697e-07,2.2116299905736944e-12,216.01297572770798
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,1.6669999999999999e-12,PS,0.001,1300.0,0.06667000000000001,1.99454e-05,,straight,aligned,Yang2019,4.818881061598952e-07,4.459927023842431e-12,152.1150549408296
PVDF,534000.0,Acetone/DMSO,,,,,xy stage,18.0,0.00015,,,,900.0,0.06,2.5361500000000003e-06,,straight,aligned,Liu2013,,2.9888814385104376e-13,
PVDF,534000.0,Acetone/DMSO,,,,,xy stage,18.0,0.00015,,,,900.0,0.06,4.608769999999999e-06,,straight,aligned,Liu2013,,5.431487533215207e-13,
PVDF,534000.0,Acetone/DMSO,,,,,xy stage,18.0,0.00015,,,,900.0,0.06,1.05305e-05,,straight,aligned,Liu2013,,1.2410313265474897e-12,
PEO,4000000.0,,0.055999999999999994,0.00981,25.0,1215.525,xy stage,2.0,0.00015,,Si,0.002,1250.0,,3.43196e-07,,meander,aligned,Xu2014,1.1138316063237223e-07,1.2133810943804918e-13,922.2262144132621
PEO,4000000.0,,,,,,xy stage,2.0,0.00015,,Si,0.002,1250.0,,,7.4e-05,meander,aligned,Xu2014,,,
PEO,4000000.0,,,,,,xy stage,2.0,0.00015,,Si,0.002,1250.0,,,2e-05,meander,aligned,Xu2014,,,
PEO,4000000.0,,,,,,xy stage,2.0,0.00015,,Si,0.002,1250.0,,,7.000000000000001e-06,meander,aligned,Xu2014,,,
PAN,150000.0,DMF,,,,,rotating drum,11.0,0.00015900000000000002,,Si,0.01,,,4.09142e-07,,straight,aligned,George2020,,6.168047727161769e-14,
PAN,150000.0,DMF,,,,,rotating drum,11.0,0.00015900000000000002,,Si,,400.0,,5.06569e-07,,straight,aligned,George2020,,7.636815015570658e-14,
PAN,150000.0,DMF,,,,,rotating drum,11.0,0.00015900000000000002,,Si,0.0045,,,5.58621e-07,,straight,aligned,George2020,,8.421528440968745e-14,
PAN,150000.0,DMF,,,,,rotating drum,11.0,0.00015900000000000002,,Si,0.0025,,,6.32462e-07,,straight,aligned,George2020,,9.534723400717077e-14,
PAN,150000.0,DMF,,,,,rotating drum,11.0,0.00015900000000000002,,Si,0.0007,,,8.391660000000001e-07,,straight,aligned,George2020,,1.265090344919718e-13,
PAN,150000.0,DMF,,,,,rotating drum,11.0,0.00015900000000000002,,Si,,700.0,,8.71092e-07,,straight,aligned,George2020,,1.3132206008546663e-13,
PAN,150000.0,DMF,,,,,rotating drum,11.0,0.00015900000000000002,,Si,,500.0,,8.95036e-07,,straight,aligned,George2020,,1.3493175390275164e-13,
PAN,150000.0,DMF,,,,,rotating drum,11.0,0.00015900000000000002,,Si,,600.0,,8.99042e-07,,straight,aligned,George2020,,1.3553568112594088e-13,
PAN,150000.0,DMF,,,,,rotating drum,11.0,0.00015900000000000002,,Si,,800.0,,1.38394e-06,,straight,aligned,George2020,,2.0863680510747509e-13,
PAN,150000.0,DMF,,,,,rotating drum,11.0,0.00015900000000000002,,Si,,900.0,,2.52959e-06,,straight,aligned,George2020,,3.8135004106523256e-13,
PVDF/PVA/SWCNT,534000.0,DMSO/Acetone,0.055999999999999994,0.00981,25.0,1215.525,xy stage,21.0,0.00015900000000000002,,paper,0.001,1500.0,0.05,3.98846e-06,0.0001,straight,aligned,Luo2016,6.41567005242464e-07,4.3517666324532307e-13,486.9711984845669
PVDF/PVA/SWCNT,534000.0,DMSO/Acetone,0.055999999999999994,0.00981,25.0,1215.525,xy stage,21.0,0.00015900000000000002,,paper,0.001,1800.0,0.05,5.539e-06,0.0001,straight,aligned,Luo2016,9.238564875491483e-07,6.043544470085809e-13,413.22844964106565
PVDF/PVA/SWCNT,534000.0,DMSO/Acetone,0.055999999999999994,0.00981,25.0,1215.525,xy stage,21.0,0.00015900000000000002,,paper,0.001,1200.0,0.05,5.56915e-06,0.0001,straight,aligned,Luo2016,4.1060288335517697e-07,6.076440817038885e-13,412.1083733437908
PVDF/PVA/SWCNT,534000.0,DMSO/Acetone,0.055999999999999994,0.00981,25.0,1215.525,xy stage,21.0,0.00015900000000000002,,paper,0.001,1400.0,0.05,5.66831e-06,0.0001,straight,aligned,Luo2016,5.588761467889909e-07,6.18463324701789e-13,408.48780866882555
PVDF/PVA/SWCNT,534000.0,DMSO/Acetone,0.055999999999999994,0.00981,25.0,1215.525,xy stage,21.0,0.00015900000000000002,,paper,0.001,1000.0,0.05,5.76747e-06,0.0001,straight,aligned,Luo2016,2.851408912188729e-07,6.292825676996894e-13,404.9610224625892
PVDF/PVA/SWCNT,534000.0,DMSO/Acetone,0.055999999999999994,0.00981,25.0,1215.525,xy stage,21.0,0.00015900000000000002,,paper,0.001,1600.0,0.05,5.76747e-06,0.0001,straight,aligned,Luo2016,7.299606815203146e-07,6.292825676996894e-13,404.9610224625892
PVDF/PVA/SWCNT,534000.0,DMSO/Acetone,0.055999999999999994,0.00981,25.0,1215.525,xy stage,21.0,0.00015900000000000002,,paper,0.001,1500.0,0.03,9.51972e-06,0.0001,straight,aligned,Luo2016,6.41567005242464e-07,1.0386866070186907e-12,315.20551608014097
PVDF/PVA/SWCNT,534000.0,DMSO/Acetone,0.055999999999999994,0.00981,25.0,1215.525,xy stage,21.0,0.00015900000000000002,,paper,0.001,1500.0,0.05,9.6876e-06,0.0001,straight,aligned,Luo2016,6.41567005242464e-07,1.0570038167250998e-12,312.4624236993449
PVDF/PVA/SWCNT,534000.0,DMSO/Acetone,0.055999999999999994,0.00981,25.0,1215.525,xy stage,21.0,0.00015900000000000002,,paper,0.001,1500.0,0.07,1.03825e-05,0.0001,straight,aligned,Luo2016,6.41567005242464e-07,1.1328236226875953e-12,301.8248034842304
PVDF/PVA/SWCNT,534000.0,DMSO/Acetone,0.055999999999999994,0.00981,25.0,1215.525,xy stage,21.0,0.00015900000000000002,,paper,0.001,1500.0,0.03,1.10355e-05,0.0001,straight,aligned,Luo2016,6.41567005242464e-07,1.2040717638496469e-12,292.7587531746136
PVDF/PVA/SWCNT,534000.0,DMSO/Acetone,0.055999999999999994,0.00981,25.0,1215.525,xy stage,21.0,0.00015900000000000002,,paper,0.001,1500.0,0.09,1.1337999999999999e-05,0.0001,straight,aligned,Luo2016,6.41567005242464e-07,1.2370772197478408e-12,288.8269207121984
